[2017-06-07 11:50:19] Downloading update (91,761 of 107,142 KB)...
[2017-06-07 11:50:19] Downloading update (92,544 of 107,142 KB)...
[2017-06-07 11:50:20] Downloading update (93,982 of 107,142 KB)...
[2017-06-07 11:50:20] Downloading update (95,072 of 107,142 KB)...
[2017-06-07 11:50:20] Downloading update (96,504 of 107,142 KB)...
[2017-06-07 11:50:20] Downloading update (97,679 of 107,142 KB)...
[2017-06-07 11:50:21] Downloading update (99,020 of 107,142 KB)...
[2017-06-07 11:50:21] Downloading update (100,223 of 107,142 KB)...
[2017-06-07 11:50:21] Downloading update (101,185 of 107,142 KB)...
[2017-06-07 11:50:21] Downloading update (102,083 of 107,142 KB)...
[2017-06-07 11:50:22] Downloading update (103,131 of 107,142 KB)...
[2017-06-07 11:50:22] Downloading update (104,123 of 107,142 KB)...
[2017-06-07 11:50:22] Downloading update (105,513 of 107,142 KB)...
[2017-06-07 11:50:22] Downloading update (105,997 of 107,142 KB)...
[2017-06-07 11:50:23] Downloading update (107,089 of 107,142 KB)...
[2017-06-07 11:50:23] Downloading update (107,142 of 107,142 KB)...
[2017-06-07 11:50:23] Download complete.
[2017-06-07 11:54:51] uninstalled manifest found in /Users/lop/Library/Application Support/Steam/Steam.AppBundle/Steam/Contents/MacOS/package/steam_client_osx (1).
[2017-06-07 11:55:00] Shutdown


[2017-06-07 11:55:02] Startup - updater built Aug 22 2016 17:36:46


[2017-06-07 11:55:02] Startup - updater built Apr 25 2017 15:47:29
[2017-06-07 11:55:02] uninstalled manifest found in /Users/lop/Library/Application Support/Steam/Steam.AppBundle/Steam/Contents/MacOS/package/steam_client_osx (1).
[2017-06-07 11:55:02] Found pending update
[2017-06-07 11:55:02] Installing update...
[2017-06-07 11:55:02] Extracting package...
[2017-06-07 11:55:14] Installing update...
[2017-06-07 11:55:14] Cleaning up...
[2017-06-07 11:55:14] Update complete, launching Steam...
[2017-06-07 11:55:15] Shutdown


[2017-06-07 11:55:16] Startup - updater built Aug 22 2016 17:36:46


[2017-06-07 11:55:16] Startup - updater built Jun  1 2017 11:42:41
[2017-06-07 11:55:16] Verifying installation...
[2017-06-07 11:55:16] Verification complete
[2017-06-07 11:55:21] Background update loop checking for update. . .
[2017-06-07 11:55:21] Checking for available updates...
[2017-06-07 11:55:24] Download skipped: /client/steam_client_osx version 1496344747, installed version 1496344747
[2017-06-07 11:55:24] Nothing to do
[2017-06-07 12:01:34] Background update loop checking for update. . .
[2017-06-07 12:01:36] Download skipped by HTTP 304 Not Modified
[2017-06-07 12:01:36] Nothing to do
[2017-06-07 12:28:12] Background update loop checking for update. . .
[2017-06-07 12:28:13] Download skipped by HTTP 304 Not Modified
[2017-06-07 12:28:13] Nothing to do
[2017-06-07 12:28:31] Background update loop checking for update. . .
[2017-06-07 12:28:32] Download skipped by HTTP 304 Not Modified
[2017-06-07 12:28:32] Nothing to do
[2017-06-07 12:39:16] Background update loop checking for update. . .
